시도,시군,관광지,내외국인 구분,2017년,2018년,2019년,2020년,2021년,2022년
경상남도,통합창원시,3.15아트,내국인,161327.0,159221.0,167720.0,52014.0,106167.0,145497.0
경상남도,통합창원시,3.15아트,외국인,0.0,170.0,23.0,0.0,5.0,1.0
경상남도,통합창원시,군항문화탐방,내국인,12108.0,12144.0,10518.0,372.0,0.0,2832.0
경상남도,통합창원시,도립미술관,내국인,119526.0,83897.0,91582.0,15524.0,35370.0,78689.0
경상남도,통합창원시,도립미술관,외국인,98.0,137.0,1895.0,86.0,73.0,30.0
경상남도,통합창원시,돝섬유원지,내국인,124149.0,107782.0,173239.0,67947.0,91385.0,106407.0
경상남도,통합창원시,돝섬유원지,외국인,0.0,489.0,826.0,0.0,0.0,0.0
경상남도,통합창원시,로봇랜드,내국인,,,,173332.0,323608.0,496503.0
경상남도,통합창원시,문신미술관,내국인,26517.0,23142.0,25051.0,8839.0,10918.0,21298.0
경상남도,통합창원시,문신미술관,외국인,73.0,80.0,68.0,41.0,30.0,54.0
경상남도,통합창원시,봉암유원지,내국인,,95351.0,164008.0,217984.0,274111.0,185159.0
경상남도,통합창원시,성산아트홀,내국인,303268.0,282880.0,321602.0,69335.0,121484.0,180627.0
경상남도,통합창원시,성산아트홀,외국인,0.0,1351.0,492.0,5.0,22.0,2768.0
경상남도,통합창원시,용지호수공원 무빙보트,내국인,,44716.0,22976.0,9592.0,14960.0,18038.0
경상남도,통합창원시,저도비치로드,내국인,155772.0,130275.0,114917.0,131000.0,163804.0,92048.0
경상남도,통합창원시,제황산공원-모노레일,내국인,62698.0,60656.0,53970.0,10568.0,10398.0,28847.0
경상남도,통합창원시,제황산공원-모노레일,외국인,0.0,122.0,13566.0,171.0,77.0,570.0
경상남도,통합창원시,주기철목사기념관,내국인,24159.0,26905.0,25283.0,28927.0,35187.0,42940.0
경상남도,통합창원시,주남저수지,내국인,68006.0,97302.0,119375.0,963775.0,1242867.0,1027844.0
경상남도,통합창원시,진해내수면환경생태공원,내국인,,192216.0,453530.0,418464.0,670684.0,460696.0
경상남도,통합창원시,진해해양공원,내국인,411558.0,431188.0,592909.0,534310.0,499027.0,814383.0
경상남도,통합창원시,진해해양공원,외국인,1706.0,2220.0,2360.0,539.0,690.0,981.0
경상남도,통합창원시,창원경륜장,내국인,492783.0,544312.0,454552.0,84197.0,134314.0,281080.0
경상남도,통합창원시,창원경륜장,외국인,19.0,0.0,0.0,0.0,0.0,0.0
경상남도,통합창원시,창원과학체험관,내국인,158583.0,159667.0,155065.0,42664.0,50925.0,139959.0
경상남도,통합창원시,창원과학체험관,외국인,0.0,0.0,0.0,0.0,0.0,0.0
경상남도,통합창원시,창원국동크루즈,내국인,0.0,,,,,
경상남도,통합창원시,창원국동크루즈,외국인,0.0,,,,,
경상남도,통합창원시,창원단감테마공원,내국인,,203443.0,213631.0,141776.0,143809.0,163512.0
경상남도,통합창원시,창원의집,내국인,131544.0,176974.0,134836.0,82048.0,140405.0,99845.0
경상남도,통합창원시,창원의집,외국인,,,2075.0,0.0,89.0,859.0
경상남도,통합창원시,창원짚트랙,내국인,,,,34957.0,30562.0,11103.0
경상남도,통합창원시,창원컨트리클럽,내국인,106848.0,96867.0,108904.0,119400.0,141078.0,132199.0
경상남도,통합창원시,창원컨트리클럽,외국인,62.0,28.0,28.0,45.0,0.0,65.0
경상남도,통합창원시,콰이강의다리 스카이워크,내국인,378293.0,492711.0,443537.0,260704.0,279232.0,335638.0
경상남도,통합창원시,콰이강의다리 스카이워크,외국인,,,1620.0,796.0,285.0,748.0
경상남도,통합창원시,해양드라마세트장,내국인,335668.0,265598.0,215012.0,287335.0,577548.0,365707.0
경상남도,진주시,LH토지주택박물관,내국인,,,14285.0,4794.0,6606.0,19877.0
